username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Barry B. Benson 🇵🇷🏴‍☠️ #MENTOO,4867561144,"Bronx, NY",2023-03-05 00:14:07,Even on #Instagram you’ve got creeps defending #DragQueens dancing sexually in front of kids. These are the people… https://t.co/oIowh9UgQ5,1,Twitter for iPhone,
Tom DiNapoli,237446906,New York,2023-03-05 00:05:28,Wonderful afternoon in #Manhattan celebrating the inauguration of Assemblymember @tonysimone. The first #LGBTQ rep… https://t.co/9LHZWWjE9m,1,Twitter for iPhone,
Tyko Kihlstedt,52248742,"Bronx, New York",2023-03-05 00:04:50,"March 2, 2023 https://t.co/rR2ocs7kBd 
In January, DeSantis set out to remake the New College of Florida, a public… https://t.co/Q8RzMds1Jl",0,Twitter Web App,
TheOUTFront,816795525349539840,"New York, NY",2023-03-05 00:00:19,"#DragQueens helped start the #StonewallRiots In 1969 which began the #LGBTQ #CivilRights Movement
We have your back… https://t.co/93dOq352Qt",55,Twitter Web App,
Jay Aaron,1529621351279079425,"New York, USA",2023-03-04 23:30:32,"Serving #DaddyVibes (lol…maybe?) in some leather gear purchased off my wishlist… 😜 

#LeatherDaddy #LeatherBoy… https://t.co/YEBv3KEGJq",0,Twitter for iPhone,
Justin Sanchez,914303926425571328,"Bronx, NY",2023-03-04 23:27:40,Always happy to celebrate @tonysimone! Congratulations on your inauguration! We are so proud of you and so happy to… https://t.co/aeuzHnN2iN,1,Twitter for iPhone,
Renaissance21,314877626,"New York, NY",2023-03-04 23:25:49,🇺🇸 @GovKathyHochul @NYCMayor @attorneygeneral LGBTQ “Excluded” from the Staten Island St. Patrick’s Day? Umm? I bet… https://t.co/nz52vIbsat,0,Twitter for iPhone,
Oliya Scootercaster 🛴,969221141347913734,"New York City, NY ",2023-03-04 23:24:30,"""I'm a part of LGBTQ community, I'm gay, well guess what Santos - we don't want you!"" Drag Performer MARTI. G. CUMM… https://t.co/Joyivg42d1",11,Twitter for Android,
Teddy 🇵🇷,2153603969,"Bushwick, Brooklyn",2023-03-04 23:17:49,I love that @jlo has gotten closer to the LGBTQ+ community. In my head she’s an old fashion Puerto Rican when it co… https://t.co/RyIaCDQbLA,0,Twitter for iPhone,
Watergun Outlaw Film,404202337,"New York, NY",2023-03-04 23:05:16,Trying to serve gay trucker realness. #watergunoutlaw #lgbtq #indiefilm https://t.co/2Kj85Tdmka,0,Twitter Web App,
David F. Dodge,1234974554184916992,"New York, USA",2023-03-04 23:02:19,"RETWEET: Call reps in Florida and demand this be stopped!! 

#trans #TransRightsAreHumanRights #TransMenAreMen… https://t.co/wsU3pzgm3L",0,Twitter for iPhone,
jenny hobbs,362689710,"Brooklyn, NY",2023-03-04 23:02:03,@Fundisw67698531 @MyassesDragon @MsBlaireWhite All of these are from the same mommy-owned biz in the UK. It’s unfor… https://t.co/yUl97TVssK,0,Twitter for iPhone,
Paul Rudnick,3514817897,"New York, NY",2023-03-04 22:41:46,Trans people are the new communism: an excuse for Republicans to avoid any policy proposals on actual issues and to… https://t.co/mShpoSuWrT,64,Twitter Web App,
Glengarry Glenn Greenwald,824797761610641409,"Astoria, Queens",2023-03-04 22:41:12,You don’t know jack shit about the lgbtq community shut the fuck up and go lie down https://t.co/GtQO6sI1sC,0,Twitter for iPhone,
Barry B. Benson 🇵🇷🏴‍☠️ #MENTOO,4867561144,"Bronx, NY",2023-03-04 22:35:51,"@alexstein99 How is is that books written by LGBTQ people manage to make shows LGBTQ people look so bad, yet  I’ve… https://t.co/dWLhPYFcAy",1,Twitter for iPhone,
Marti,25030365,"New York, NY",2023-03-04 22:34:46,Anti-LGBTQ liars are trying to once again smear me in disgusting &amp; false ways. Been down this exact road before and… https://t.co/tIuFzgQCfL,7,Twitter for iPhone,
CFP,2936035413,NYC,2023-03-04 22:34:19,"What is WRONG with PEOPLE!? Live and let LIVE. DAMMMIT!!
https://t.co/LoAOUoe9s2",0,Twitter for Android,
Students Against Santos,1590884844703211521,"New York, USA",2023-03-04 22:26:41,"This was a peaceful protest highlighting the many ways you’ve betrayed each community in #NY03, especially the LGBT… https://t.co/TpS5p2ELbZ",6,Twitter for iPhone,
Frank Sansarricq,1336103123782348801,"New York, USA",2023-03-04 22:23:30,Alaska says it’s now legal “in some instances” to discriminate against LGBTQ individuals - ProPublica https://t.co/mljVyEY1zl,0,Twitter for iPhone,
Dustin Ginsberg,1680019820,"New York, USA",2023-03-04 22:08:21,@NotHoodlum When she was a state rep she actively campaigned against LGBTQ rights. She was always terrible https://t.co/jUgWqSc6Aw,0,Twitter for iPhone,
Students Against Santos,1590884844703211521,"New York, USA",2023-03-04 22:02:16,"This is exactly what we were protesting. You’re a danger to the LGBTQ+ community.

Your hateful rhetoric endangers… https://t.co/bAeK9njlOQ",36,Twitter for iPhone,
Rude Mechanical Orchestra,2448381518,"Brooklyn, NY",2023-03-04 21:36:22,The march that began as a response to the exclusion of Irish LGBTQ communities from the 5th Avenue parade has now b… https://t.co/H2BLnNrHxc,0,Twitter for Android,
Rev Dr Liz Theoharis,80978908,New York City,2023-03-04 21:32:37,"Join me tomorrow Sunday, March 5th at 1pm ET @NYHistory as we explore how women and LGBTQ+ people have shaped and t… https://t.co/Bev13j7Pxs",2,Twitter for iPhone,
Mark A. Keeton,2363590801,New York City,2023-03-04 21:26:09,Texas Property Tax Relief Bill Excludes LGBTQ Couples https://t.co/PXcf4rQ4jr,0,Twitter Web App,
Charles Ornstein,22278303,"New York, NY",2023-03-04 21:23:23,⚡️⚡️⚡️ When your journalism allows you to write this paragraph! https://t.co/FSD80DVdfl @kylehopkinsAK @adndotcom https://t.co/hhYl3lmD1T,16,Twitter for iPhone,
Stonewall Democrats of NYC,136260002,New York City,2023-03-04 21:08:20,Thrilled to be with our friend @tonysimone today at his inauguration! Tony will be a phenomenal Assembly Member and… https://t.co/rurYBI1eeJ,2,Twitter for iPhone,
#ILoveGay Politics,1099370785100185600,"New York, NY",2023-03-04 20:54:00,Religious activists are trying to weaken new protections for LGBTQ workers @ILoveGayWork @ILoveGayFaith - Three fed… https://t.co/MIj4v8pjeA,4,Scoop.it,
Andrew Giambrone,1907861946,"New York, NY",2023-03-04 20:52:54,"“Over 300 bills targeting LGBTQ people have been introduced in state legislatures this year, according to counts by… https://t.co/IO9Hti92Fl",0,Twitter for iPhone,
Michael Paulauski,224329419,"Hoboken, NJ",2023-03-04 20:26:56,@chieflyoffire @Oyka1 The question is about if LGBTQ+ deserve to exist in public spaces.,0,Twitter Web App,
Privatizing kills education 🇵🇸 (she/her),1275835311067627520,"Brooklyn, NY",2023-03-04 20:18:01,@FFXParentsAssoc “Quick! Look at this! Forget about that recording of Harry Jackson agreeing with anti-Semitic whit… https://t.co/i1rzyA7AUW,2,Twitter for iPhone,
Dustin Ginsberg,1680019820,"New York, USA",2023-03-04 20:16:56,"@Esqueer_ This has always been their goal. 

It was never about “protecting kids”. 

They want to see all LGBTQ+ dead.",3,Twitter for iPhone,
Dustin Ginsberg,1680019820,"New York, USA",2023-03-04 20:16:44,"This has always been their goal. 

It was never about “protecting kids”. 

They want to see all LGBTQ+ dead. https://t.co/qMtiT3q83m",0,Twitter for iPhone,
AnnieArgo1,1242262387408830465,"New York, USA",2023-03-04 20:07:17,Better #VoteBlue2024 … or forget your rights etc. https://t.co/1PDv84PT2s,0,Twitter for iPhone,
Ray,269688619,"Brooklyn, NY",2023-03-04 19:58:15,@ReedDunlea so lgbtq runs politics is what you’re saying,0,Twitter for iPhone,
ken crichlow,1163887880,Brooklyn,2023-03-04 19:49:44,Alaska says it’s now legal “in some instances” to discriminate against LGBTQ individuals - ProPublica https://t.co/NLpa6gIG3N,0,Twitter for iPhone,
